trial,analysis,status,r1,@n1[dr],@rm[r],pk,npk,tpk,over,tr,q
160,tran,ok,14.498450462,-9.22658269368,1054.15892455,1.43600142267,3,0.000101746105645,0.436001422668,,
161,tran,ok,31.3436444674,0.863505340156,943.065689147,1.12276402522,1,0.000113191005685,0.122764025219,,
162,tran,ok,37.7794595263,-7.7649555565,975.703598049,1.05265364022,1,0.000122079635312,0.0526536402193,,
163,tran,ok,13.4339291756,-7.21110622461,1007.5125401,1.46189079881,3,0.000101364360686,0.461890798813,,
164,tran,ok,-1.28882197183,4.98881428195,1013.04527705,2.14931984257,5,9.94427220194e-05,1.14931984257,,
165,tran,ok,3.59473877113,7.1904951129,1006.8317622,1.7900855683,5,9.94674699552e-05,0.790085568297,,
166,tran,ok,14.6376866655,-13.8351235446,989.075036865,1.4295923678,3,0.000101771744272,0.429592367798,,
167,tran,ok,17.7988406998,8.73777152132,1013.13174098,1.35655230291,2,0.000103095957212,0.356552302907,,
168,tran,ok,6.14402072989,-1.29244287158,967.626962709,1.68866539763,5,9.9710409654e-05,0.688665397631,,
169,tran,ok,12.2196365479,11.6249620504,987.346538363,1.49491141629,3,0.000100984985753,0.494911416285,,
170,tran,ok,15.9842141886,2.47284509153,1048.66420945,1.39948059988,2,0.000102315288826,0.399480599876,,
171,tran,ok,22.642697478,3.92623780817,998.351380955,1.2583845226,2,0.000105770629969,0.258384522604,,
172,tran,ok,23.0031151272,-9.91210156924,987.692043113,1.25085271926,2,0.000105989076975,0.250852719257,,
173,tran,ok,22.939010048,-4.34783360944,991.952032411,1.252417507,2,0.00010595371697,0.252417507003,,
174,tran,ok,20.042079497,0.194585206734,963.208173438,1.30660808214,2,0.000104197596717,0.306608082135,,
175,tran,ok,25.1576172724,1.1780867373,1003.43834933,1.2149912981,1,0.000107538562777,0.214991298099,,
176,tran,ok,23.8809601463,15.1275468594,972.570918896,1.23571404476,2,0.000106584630197,0.235714044763,,
177,tran,ok,31.282477635,-5.27481684015,965.323067742,1.12425000141,1,0.000113142141433,0.124250001407,,
178,tran,ok,22.0225689576,-5.86590245433,1000.64812755,1.26949037193,2,0.000105371448606,0.269490371932,,
179,tran,ok,33.6360620627,9.35180180791,1025.99495455,1.09882214919,1,0.000116050786391,0.0988221491935,,
